wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_bc,mass_organics,mass_total,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660,1.5,5,140.0591183,2,0.095199777,2,0.63,1.47,0,465076.7143,438252.1752,26824.53914,1.5,1.1,6.57E-16,2.95E-17,6.87E-16,1.044885867,0.044885867,0.42915,0.40567,0.023484,0.23643,7257.279736,0.003114462,0.002944061,0.00017043,0.054722125,4.286102585,4.478488014,99.77501487
660,1.5,5,146.815251,2,0.095199777,2,0.63,1.47,0,510084.1383,480663.676,29420.46228,1.5,1.1,7.21E-16,3.24E-17,7.53E-16,1.044885867,0.044885867,0.44368,0.41818,0.025509,0.24693,7718.247111,0.003424432,0.003227617,0.000196885,0.05749414,4.284306373,4.476611177,99.73320134
660,1.5,5,151.1580218,2,0.095199777,2,0.63,1.47,0,540089.0876,508938.0099,31151.07771,1.5,1.1,7.63E-16,3.43E-17,7.98E-16,1.044885867,0.044885867,0.45281,0.4262,0.026605,0.25823,8018.03107,0.003630645,0.003417285,0.00021332,0.058755328,4.284066258,4.476360285,99.72761177
660,1.5,5,157.456239,2,0.095199777,2,0.63,1.47,0,585096.5116,551349.5107,33747.00085,1.5,1.1,8.27E-16,3.71E-17,8.64E-16,1.044885867,0.044885867,0.46585,0.43757,0.028282,0.27124,8457.509073,0.003939931,0.003700752,0.000239195,0.060710529,4.282554552,4.474780725,99.69242119
660,1.5,5,163.5211988,2,0.095199777,2,0.63,1.47,0,630103.9355,593761.0115,36342.92399,1.5,1.1,8.91E-16,4E-17,9.31E-16,1.044885867,0.044885867,0.47934,0.44896,0.03038,0.27329,8885.848981,0.004259343,0.003989391,0.000269952,0.063378813,4.286815442,4.479232869,99.79160928
660,1.5,5,169.3773392,2,0.095199777,2,0.63,1.47,0,675111.3595,636172.5124,38938.84714,1.5,1.1,9.54E-16,4.28E-17,9.97E-16,1.044885867,0.044885867,0.49182,0.45971,0.032112,0.28161,9304.100871,0.004575943,0.004277188,0.000298773,0.06529218,4.2896647,4.482210017,99.85793637
660,1.5,5,178.7276011,2,0.095199777,2,0.63,1.47,0,750123.7328,706858.3471,43265.38571,1.5,1.1,1.06E-15,4.76E-17,1.11E-15,1.044885867,0.044885867,0.51297,0.4777,0.035274,0.28723,9981.122916,0.005120017,0.004767982,0.000352074,0.068764255,4.303701489,4.496876861,100.184695
660,1.5,5,187.6298346,2,0.095199777,2,0.63,1.47,0,825136.106,777544.1818,47591.92428,1.5,1.1,1.17E-15,5.24E-17,1.22E-15,1.044885867,0.044885867,0.53202,0.49409,0.037932,0.29693,10635.9069,0.005658515,0.005255095,0.000403441,0.071298072,4.312165311,4.505720589,100.381722
660,1.5,5,196.1435638,2,0.095199777,2,0.63,1.47,0,900148.4793,848230.0165,51918.46285,1.5,1.1,1.27E-15,5.71E-17,1.33E-15,1.044885867,0.044885867,0.54965,0.50939,0.040265,0.30868,11271.11553,0.006195169,0.005741394,0.000453831,0.073255708,4.318605817,4.512450182,100.5316488
660,1.5,5,204.3161686,2,0.095199777,2,0.63,1.47,0,975160.8526,918915.8512,56245.00142,1.5,1.1,1.38E-15,6.19E-17,1.44E-15,1.044885867,0.044885867,0.56601,0.52333,0.042686,0.3173,11888.89903,0.006729236,0.006221818,0.00050749,0.075415629,4.319976787,4.513882689,100.5635632
660,1.5,5,212.1860971,2,0.095199777,2,0.63,1.47,0,1050173.226,989601.6859,60571.53999,1.5,1.1,1.48E-15,6.66E-17,1.55E-15,1.044885867,0.044885867,0.58195,0.53708,0.044871,0.32824,12491.02548,0.007269152,0.00670868,0.000560485,0.077104562,4.325302977,4.51944795,100.6875501
660,1.5,5,219.7850604,2,0.095199777,2,0.63,1.47,0,1125185.599,1060287.521,64898.07856,1.5,1.1,1.59E-15,7.14E-17,1.66E-15,1.044885867,0.044885867,0.59682,0.5493,0.047517,0.3328,13078.97099,0.007805791,0.007184279,0.000621473,0.07961697,4.323141114,4.51718905,100.6372247
660,1.5,5,234.2721031,2,0.095199777,2,0.63,1.47,0,1275210.346,1201659.19,73551.1557,1.5,1.1,1.8E-15,8.09E-17,1.88E-15,1.044885867,0.044885867,0.62562,0.57401,0.051609,0.35075,14217.13274,0.008894523,0.008160776,0.000733732,0.082492567,4.333013583,4.527504653,100.8670432
660,1.5,5,247.9453471,2,0.095199777,2,0.63,1.47,0,1425235.092,1343030.859,82204.23284,1.5,1.1,2.01E-15,9.04E-17,2.1E-15,1.044885867,0.044885867,0.65079,0.59495,0.055842,0.36477,15311.40831,0.009964511,0.009109522,0.00085502,0.085806481,4.327623805,4.52187295,100.741576
660,1.5,5,260.929671,2,0.095199777,2,0.63,1.47,0,1575259.839,1484402.529,90857.30998,1.5,1.1,2.23E-15,9.99E-17,2.33E-15,1.044885867,0.044885867,0.67545,0.61494,0.06051,0.36863,16367.87377,0.01105568,0.01006526,0.00099042,0.089584721,4.326265927,4.520454122,100.7099664
660,1.5,5,273.3208878,2,0.095199777,2,0.63,1.47,0,1725284.585,1625774.198,99510.38713,1.5,1.1,2.44E-15,1.09E-16,2.55E-15,1.044885867,0.044885867,0.69814,0.63302,0.065129,0.37144,17391.26988,0.012141541,0.011009022,0.001132676,0.093289312,4.32044405,4.514370926,100.5744405
660,1.5,5,285.1944244,2,0.095199777,2,0.63,1.47,0,1875309.332,1767145.868,108163.4643,1.5,1.1,2.65E-15,1.19E-16,2.77E-15,1.044885867,0.044885867,0.72118,0.65183,0.069347,0.3783,18385.38561,0.013259172,0.011984146,0.001274971,0.096157686,4.326877245,4.52109288,100.7241971
660,1.5,5,302.1636531,2,0.095199777,2,0.63,1.47,0,2100346.452,1979203.372,121143.08,1.5,1.1,2.97E-15,1.33E-16,3.1E-15,1.044885867,0.044885867,0.75093,0.67595,0.074979,0.3892,19828.26699,0.014889641,0.013402917,0.001486704,0.099848188,4.320647088,4.514583077,100.5791669
660,1.5,5,318.2629546,2,0.095199777,2,0.63,1.47,0,2325383.572,2191260.876,134122.6957,1.5,1.1,3.29E-15,1.48E-16,3.43E-15,1.044885867,0.044885867,0.77905,0.69893,0.080112,0.40201,21220.41468,0.016531764,0.014831584,0.00170001,0.102832938,4.318504235,4.512344041,100.5292841
660,1.5,5,333.6152342,2,0.095199777,2,0.63,1.47,0,2550420.691,2403318.38,147102.3114,1.5,1.1,3.6E-15,1.62E-16,3.77E-15,1.044885867,0.044885867,0.80528,0.72087,0.084409,0.41339,22568.29146,0.018173794,0.016268804,0.001904967,0.104819442,4.319010027,4.512872535,100.5410582
